idx,ou,raw_lightgbc_prediction,raw_lightgbc_confidence,raw_knn_prediction,raw_knn_confidence,raw_log_prediction,raw_log_confidence,+pts_linsvc_prediction,+pts_linsvc_confidence,+pts_lightgbc_prediction,+pts_lightgbc_confidence,+pts_log_prediction,+pts_log_confidence
2017-11-13Bowling_Grn,1,0,0.5297446322029533,1,0.6590909090909091,0,0.5230658566459798,0,0.5058514790392634,1,0.5188109775107141,0,0.7266034609179279
2017-11-13Brown,0,0,0.5108624144626779,1,0.6818181818181818,0,0.5175636883829505,1,0.5,1,0.5138152806226581,1,0.695012753557955
2017-11-14AR_Lit_Rock,0,0,0.5238286087669133,1,0.5,0,0.5182061994506701,1,0.5,0,0.5120441790853975,1,0.7477555436351334
2017-11-14Air_Force,1,0,0.5384192099093461,1,0.5,0,0.5101196994776658,0,0.5065118653837496,0,0.5075403057891354,0,0.6688325949529907
2017-11-14Arizona_St,1,0,0.521409341739455,1,0.5681818181818182,0,0.5205861628233996,0,0.506785118083286,0,0.507895198097865,0,0.6766222379966931
2017-11-14Bradley,0,1,0.5038992676277164,1,0.5227272727272727,0,0.5167590287994603,0,0.5063734374190152,0,0.5124673063421508,0,0.6188197255333886
2017-11-15Ball_State,1,0,0.5054301354252368,1,0.6704545454545454,0,0.5143707549180327,1,0.5,1,0.5479818119051479,0,0.6152570047707842
2017-11-15Buffalo,1,0,0.5098820008013932,1,0.5909090909090909,0,0.5327058183461063,0,0.5058334871625879,1,0.5164627193337978,1,0.5900731480955776
2017-11-16App_State,1,0,0.5055567714744819,1,0.5681818181818182,0,0.5281786046550363,1,0.5,1,0.5031517194595159,1,0.6160945955692916
2017-11-16Arizona,1,0,0.5582773188150267,1,0.5,0,0.5145336992633509,0,0.5072867461399825,0,0.5096859077963191,1,0.5211472938506533
2017-11-16Arkansas_St,0,0,0.5005661416000924,1,0.625,0,0.5199590571689607,1,0.5,1,0.5062290171004202,1,0.825766487166774
2017-11-16Auburn,0,0,0.5232908345493744,1,0.6022727272727273,0,0.5119532961735811,1,0.5,0,0.5027660337876476,0,0.7381008025354853
2017-11-16Belmont,0,1,0.5002643367018924,1,0.5795454545454546,0,0.5164869474450317,1,0.5,0,0.5094925318681688,1,0.5366568693279103
2017-11-16Boise_State,0,0,0.5021026764902392,1,0.5909090909090909,0,0.511795427571984,0,0.5054384004279503,1,0.5041818900980257,1,0.6081207272998952
2017-11-17App_State,0,0,0.5104030468035667,1,0.5909090909090909,0,0.5242769301389112,1,0.5,1,0.5107893376323703,0,0.5842131922016268
2017-11-17Arizona_St,1,0,0.52561874423243,1,0.5568181818181818,1,0.5042725908935666,0,0.5072059701822433,1,0.5210719534214766,0,0.6717890406603801
2017-11-17Arkansas,1,0,0.520533653342314,1,0.5113636363636364,0,0.5051302673864682,0,0.5057480532033034,0,0.530992811927485,0,0.7720839411212894
2017-11-17Auburn,1,0,0.5117898524741473,1,0.5909090909090909,0,0.5194005891716986,0,0.5058267987430736,1,0.5216754006513299,1,0.63541779451868
2017-11-17Boise_State,1,0,0.5391100016612003,1,0.6477272727272727,0,0.5219810765557868,0,0.506073863405966,1,0.5023225584265613,0,0.6574813762195679
2017-11-17Bradley,0,0,0.500093004442298,1,0.5681818181818182,0,0.5334134425695064,0,0.507010272906595,0,0.5010814536558629,0,0.6708737675479628
2017-11-18Akron,0,0,0.5344733364648186,1,0.5227272727272727,0,0.5090260258231085,1,0.5,1,0.5007565741286695,0,0.633939452743652
2017-11-18Belmont,1,0,0.5651109583564043,1,0.5227272727272727,1,0.5242614977357064,0,0.5077800846796904,0,0.5283762660648729,0,0.8601342914150898
2017-11-18Boston_Col,0,0,0.5134985380981072,1,0.625,0,0.5180470979884577,1,0.5,0,0.5105030216562673,0,0.8133130050399222
2017-11-19App_State,1,0,0.5216440082671847,1,0.6136363636363636,0,0.5358150911773344,0,0.50528293855273,1,0.5058748216528999,0,0.8001393199971685
2017-11-19Arizona_St,1,0,0.5255065642783463,1,0.5909090909090909,0,0.5176927742633367,0,0.5053065519814217,1,0.512156263346749,0,0.686037346558865
2017-11-19Auburn,1,0,0.5124710978000178,1,0.6022727272727273,0,0.5162035575074305,0,0.5059302218611506,1,0.5462666843470053,1,0.5972606714453454
2017-11-19Ball_State,1,0,0.5047730676447663,1,0.5909090909090909,0,0.536185133591287,1,0.5,1,0.512182708029382,0,0.6257527888771429
2017-11-19Belmont,1,0,0.5571228162943733,1,0.5909090909090909,0,0.511000303494169,0,0.5064252592226184,1,0.5026969449190098,0,0.7722030033251439
2017-11-19Boise_State,0,0,0.5008599711300534,1,0.5568181818181818,0,0.505703574876632,0,0.5062836672000907,1,0.5028411008665722,1,0.6298076298008121
2017-11-19Boston_Col,0,0,0.512430376078091,1,0.5227272727272727,0,0.5138409476559911,0,0.5060468724214888,1,0.514583094309367,1,0.5645291426040873
2017-11-19Bradley,0,0,0.5186453980810503,1,0.5681818181818182,0,0.5290071022326726,0,0.507507321693631,1,0.5022423230289694,1,0.922257928611595
