idx,line,raw_lightgbc_prediction,raw_lightgbc_confidence,raw_log_prediction,raw_log_confidence,+pts_linsvc_prediction,+pts_linsvc_confidence,+pts_lightgbc_prediction,+pts_lightgbc_confidence,+pts_knn_prediction,+pts_knn_confidence,+pts_log_prediction,+pts_log_confidence
2017-11-13Austin_Peay,0,0,0.5129410659278051,0,0.5181394915951514,1,0.6103025280247529,1,0.5894403444796127,0,0.5252525252525253,0,0.6425613664506113
2017-11-13Belmont,1,0,0.5192925708588327,1,0.510756565149143,1,0.6079929736398422,1,0.5459541506475832,1,0.5050505050505051,1,0.5402874434178291
2017-11-13Bowling_Grn,0,0,0.5098813249087008,1,0.5093709831669719,1,0.6097548323411377,0,0.5412494179555363,0,0.5050505050505051,1,0.5427720692630034
2017-11-13Brown,1,0,0.5030904114346539,1,0.5088054960260735,1,0.5963521866247689,0,0.5384248248952251,1,0.5757575757575758,1,0.5534833507269035
2017-11-14AR_Lit_Rock,1,0,0.5109015068134617,1,0.5147297454693245,1,0.6178826564726776,1,0.5498787307210713,1,0.5757575757575758,1,0.5968059392382189
2017-11-14Air_Force,1,0,0.5131178654715292,1,0.5004047471111531,1,0.5917744916892955,1,0.5667473928000902,0,0.5050505050505051,0,0.5459019148510282
2017-11-14Alabama,1,0,0.5012317408636553,0,0.5186188888814809,1,0.5856109236250641,0,0.5070796508576618,0,0.5505050505050505,0,0.5992021974800426
2017-11-14Arizona_St,1,0,0.5108457686482899,0,0.5022187355708345,1,0.5911471738134708,1,0.5424370050250862,0,0.5555555555555556,0,0.5213186789226079
2017-11-15Ball_State,0,0,0.5051126005197755,0,0.5185227823691823,1,0.5848909351094622,1,0.5006377846112527,0,0.5757575757575758,0,0.6082344227767876
2017-11-15Buffalo,1,0,0.5144215931056487,0,0.5036350458104787,1,0.593664104415471,1,0.5731846766766363,1,0.5555555555555556,0,0.5127038370212895
2017-11-16App_State,1,0,0.5122779748641101,1,0.509465531494536,1,0.6169040345612514,0,0.5484471870298986,0,0.5303030303030303,1,0.5709343625345674
2017-11-16Arizona,1,0,0.5077594739621625,0,0.5021829522972416,1,0.5833218328298215,0,0.5026646568411202,1,0.5151515151515151,1,0.5228392060302818
2017-11-16Arkansas_St,0,0,0.5130717750707172,1,0.5081568365786469,1,0.6085986627835114,1,0.5232802830009244,1,0.5505050505050505,1,0.5675939670552475
2017-11-16Auburn,1,0,0.5090360266059952,1,0.5054816656294826,1,0.588430688217872,1,0.5109207442439979,1,0.5555555555555556,1,0.5184682123211785
2017-11-16Belmont,1,0,0.513632485640231,1,0.5001751287388426,1,0.5963275720575413,1,0.5258617622023658,1,0.5151515151515151,0,0.5403445940269541
2017-11-16Boise_State,0,0,0.5110667484095002,1,0.5164123464492505,1,0.5996331469207925,1,0.5079900143061171,1,0.51010101010101,1,0.5789441489728192
2017-11-17Alabama_St,0,0,0.516565949265444,1,0.5005403062128372,1,0.5797519783365201,0,0.5263030226137071,1,0.5454545454545454,0,0.5223705784232258
2017-11-17App_State,0,0,0.5106058389645789,1,0.5001751287388426,1,0.5876675070837764,0,0.5070836993572746,1,0.5151515151515151,0,0.5352816877889008
2017-11-17Arizona_St,1,0,0.5093979260524216,0,0.5094483685205302,1,0.5664966553224895,1,0.5317697758497104,0,0.5050505050505051,0,0.5595593034578046
2017-11-17Arkansas,0,0,0.5060253857621304,0,0.522879412140216,1,0.5693937503448016,0,0.5055041730256972,1,0.5151515151515151,0,0.6618980483118336
2017-11-17Auburn,0,0,0.5112812243786056,0,0.5051340582400019,1,0.5760570065185169,0,0.5025007860192409,0,0.5555555555555556,0,0.5100904571663546
2017-11-17Boise_State,1,0,0.5145889939259349,1,0.5166800112971986,1,0.6104556878939753,1,0.5517060475971134,1,0.5505050505050505,1,0.5379500567794441
2017-11-17Bradley,1,0,0.5124804729761987,0,0.5375226805005029,1,0.5998412081475387,1,0.6403032651688835,0,0.5151515151515151,0,0.7154219117016887
2017-11-18Akron,1,0,0.5093561282684149,0,0.5068204989554961,1,0.5867229527759752,0,0.5064322722941292,0,0.5050505050505051,0,0.5700597996566987
