idx,winner,raw_linsvc_prediction,raw_linsvc_confidence,raw_lightgbc_prediction,raw_lightgbc_confidence,raw_knn_prediction,raw_knn_confidence,raw_log_prediction,raw_log_confidence,+pts_log_prediction,+pts_log_confidence
2017-11-16Boise_State,1,1,0.6360625012947716,0,0.5061614664519909,1,0.6927710843373494,0,0.6129946114884235,1,0.9987910618392795
2017-11-17Alabama_St,0,0,0.6790816698030734,1,0.5063321121205604,0,0.6325301204819277,0,0.8906556432788257,1,0.9927281235110617
2017-11-17App_State,0,1,0.5,1,0.6266902228307335,0,0.572289156626506,0,0.6825387294406915,1,0.9415052519272916
2017-11-17Arizona_St,1,1,0.6613813383217504,1,0.6497987811896312,1,0.6144578313253012,0,0.8436220634205817,1,0.916756668324526
2017-11-17Arkansas,1,1,0.5169718381116776,1,0.5248673646973533,1,0.5421686746987951,0,0.7262383590025098,0,0.9027869906099762
2017-11-17Auburn,0,1,0.6689555427762929,1,0.5672286680387241,1,0.5963855421686747,0,0.7541303815044778,1,0.9861312410152673
2017-11-17Boise_State,1,0,0.5394745786485716,1,0.5707833636328817,0,0.5662650602409639,1,0.784957283902394,1,0.8658137717783795
2017-11-17Bradley,0,1,0.6404699139211015,1,0.5575266443224468,1,0.6265060240963856,0,0.7570870030960958,1,0.9998604371866313
2017-11-18Akron,1,0,0.6428336942662469,1,0.5496297763927794,0,0.5662650602409639,0,0.614722448843025,1,0.9949764009298019
2017-11-18Belmont,1,1,0.5134606052086914,1,0.576602805726482,1,0.5903614457831325,0,0.6771810206271698,1,0.9664169631921417
2017-11-18Boston_Col,0,0,0.5392773494747949,0,0.6282615919407601,1,0.5542168674698795,0,0.7189979351165523,0,0.9194120020078657
2017-11-18Bradley,1,1,0.6528088632362063,1,0.6762730549494237,1,0.572289156626506,1,0.591378839107143,1,0.9999441237903537
2017-11-18Bucknell,0,0,0.5452177939578647,1,0.6297564914679062,0,0.6204819277108434,0,0.6051703693779227,1,0.999278898722753
2017-11-19App_State,1,0,0.5935666498314538,0,0.5238394300595017,1,0.5602409638554217,0,0.6067929432515813,0,0.736773649512471
2017-11-19Arizona_St,1,1,0.5649077668955824,0,0.5020504167021966,1,0.572289156626506,0,0.7671600290952507,0,0.8331676940009527
2017-11-19Auburn,1,1,0.6058776004718457,1,0.5915402045352188,1,0.5120481927710844,0,0.7035103556879908,1,0.9987299550813326
2017-11-19Ball_State,0,0,0.610683082292458,0,0.5637059755801339,0,0.5481927710843374,0,0.9183796940424668,0,0.5932563433968794
2017-11-19Belmont,1,0,0.6784383201780904,1,0.5020615484314253,1,0.5240963855421686,0,0.5969874373317685,0,0.8136483891890757
2017-11-19Boise_State,0,1,0.5501884235661842,0,0.568688017876413,1,0.6265060240963856,0,0.6442916966392205,1,0.9956008769620092
2017-11-19Boston_Col,1,0,0.6428353219299598,0,0.5544747816919231,0,0.5240963855421686,1,0.5407172181633837,1,0.9978640094745562
2017-11-19Bradley,1,0,0.6209337502009085,1,0.5261840416187585,0,0.6024096385542169,1,0.5903697725885776,1,0.9999999610235726
2017-11-20AR_Lit_Rock,0,0,0.5289412589317508,1,0.5552296090752797,1,0.5662650602409639,0,0.548863750335389,1,0.999999938352093
2017-11-20Baylor,1,1,0.646628155334454,1,0.5849033045908993,1,0.6204819277108434,0,0.7107991096418849,1,0.9999542653481696
2017-11-20Buffalo,0,1,0.8110334395595717,1,0.6507886164645786,1,0.608433734939759,0,0.9585647011447556,1,0.9334796381148319
